snapshot,domain,comet_score,flesch_reading_ease_output,fkgl_output,word_count_output,sentence_count_output,average_sentence_length_output,type_token_ratio_output,adjacent_content_word_overlap_output,adjacent_noun_overlap_output,connective_total_incidence_output,comet_model_id,number_of_segments,aggregation_method
GPT-5.0,Public policy,0.822043459,19.90107227488156,16.09977149627624,629,27,23.2962962962963,0.5325914149443561,0.09262409598948061,0.1343312670235747,65.18282988871223,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.4,Public policy,0.826664507,26.1785932169376,15.29166767007827,757,31,24.41935483870968,0.4729194187582563,0.1466708549448487,0.2334656084656084,73.9762219286658,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.5,Public policy,0.836901565,18.026547253014,16.05695808722389,732,32,22.875,0.5095628415300546,0.1163465849374169,0.1976458129683936,64.20765027322405,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.6 Sol,Public policy,0.839315275,18.41035730438719,16.23967435549525,750,31,24.19354838709678,0.5,0.1058960157489569,0.1424675324675325,66.66666666666667,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.0,Finance,0.806227009,19.69370588235299,15.58037908496732,619,26,23.80769230769231,0.5201938610662359,0.04992035742035741,0.03902197802197802,67.85137318255249,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.4,Finance,0.806355,23.57083333333335,15.5612962962963,680,27,25.18518518518519,0.4838235294117647,0.07606282606282606,0.06494787264018033,69.11764705882352,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.5,Finance,0.823132873,22.30798673429575,15.40996488490051,704,30,23.46666666666667,0.4417613636363636,0.07108310876459696,0.0458454380868174,62.5,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.6 Sol,Finance,0.818408092,18.07078158306101,16.19621524323813,685,28,24.46428571428572,0.4613138686131387,0.09150149338487833,0.06313028535250759,70.07299270072993,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.0,Technology,0.857223490873973,37.50820512820513,12.2,656,37,17.72972972972973,0.5,0.1484427609427609,0.2005952380952381,50.30487804878049,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.4,Technology,0.871917068958282,43.13234323432343,12.02251060820368,812,42,19.33333333333333,0.458128078817734,0.1821122644293376,0.2552845528455284,55.41871921182266,Unbabel/wmt22-comet-da,3,auto_sentence_chunk_arithmetic_mean
GPT-5.5,Technology,0.8312668800354,39.62132167239878,12.30726169087829,850,46,18.47826086956522,0.4352941176470588,0.1917801951135285,0.2589417989417989,60.00000000000001,Unbabel/wmt22-comet-da,4,auto_sentence_chunk_arithmetic_mean
GPT-5.6 Sol,Technology,0.826693952083588,40.17616250848167,12.15426405344747,836,46,18.17391304347826,0.4449760765550239,0.2148294493031335,0.2916931216931217,59.80861244019139,Unbabel/wmt22-comet-da,4,auto_sentence_chunk_arithmetic_mean
